DATASET,GAME_ID,DATE,TEAM,VENUE,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,OT5,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,"TO
TO",BL,PTS,POSS,PACE,OEFF,DEFF,"TEAM
REST DAYS",STARTING LINEUPS,,,,,MAIN REF,CREW,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,"LINE 
MOVEMENT #1","LINE 
MOVEMENT #2","LINE 
MOVEMENT #3","CLOSING
ODDS",CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,HALFTIME,"BOX SCORE
URL","ODDS
URL"
NBA 2018-2019 Regular Season,21800321,11/30/18,Chicago,R,21,19,25,23,,,,,,88,240,37,86,3,21,11,14,7,33,40,25,20,5,15,15,7,88,97.3,97.3,90.4,110,1,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Eric Lewis,Jacyn Goble,216.5,9,216.5,216.5o14,217, 217.5u12,217,8.5,217,330,111.5,,
NBA 2018-2019 Regular Season,21800321,11/30/18,Detroit,H,34,21,24,28,,,,,,107,240,41,92,13,34,12,16,13,39,52,24,17,5,13,13,5,107,97.3,97.3,110,90.4,2,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,,J.T. Orr,-9,-9,216.5,-14.5,-17.5, -9.5 -05,-8.5,-8.5,217,-420,PK,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800322,11/30/18,Washington,R,19,27,24,28,,,,,,98,240,37,92,8,28,16,19,8,34,42,22,20,10,15,16,4,98,104.8,104.8,93.5,117.4,1,Kelly Oubre Jr.,Jeff Green,Thomas Bryant,Bradley Beal,John Wall,Tom Washington,Tyler Ford,235,7.5,235,236.5,235.5,234.5,233.5,8.5,233.5,337,111.5,,
NBA 2018-2019 Regular Season,21800322,11/30/18,Philadelphia,H,31,37,30,25,,,,,,123,240,43,98,12,38,25,33,17,41,58,28,17,11,12,12,7,123,104.8,104.8,117.4,93.5,1,Jimmy Butler,Wilson Chandler,Joel Embiid,JJ Redick,Ben Simmons,,Leon Wood,-7.5,-7.5,235,-8,-34, -8.5 -15,-8.5,-8.5,233.5,-430,1.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800323,11/30/18,Memphis,R,26,32,27,26,6,14,,,,131,290,50,101,12,30,19,22,11,34,45,27,23,8,17,17,6,131,113.2,93.7,115.7,110.4,2,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Derrick Collins,Haywoode Workman,-7,-2,208,-10,-6, -3 -07,-2.5,-2.5,206,-130,-1.5,,
NBA 2018-2019 Regular Season,21800323,11/30/18,Brooklyn,H,26,32,22,31,6,8,,,,125,290,42,94,16,44,25,30,11,40,51,26,28,7,16,19,4,125,113.2,93.7,110.4,115.7,1,Allen Crabbe,Rondae Hollis-Jefferson,Jarrett Allen,Spencer Dinwiddie,D'Angelo Russell,,Tony Brown,208,2,208,206.5,206.5u13 ,206.5,206,2.5,206,110,102.5o20,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800324,11/30/18,New Orleans,R,17,24,34,26,,,,,,101,240,35,82,6,28,25,29,11,35,46,25,22,4,16,16,8,101,98.6,98.6,102.4,107.5,1,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Tim Frazier,James Capers,Mitchell Ervin,-3,-3,229.5,-8,-10,-2.5,-3,-3,228,-155,-6.5,,
NBA 2018-2019 Regular Season,21800324,11/30/18,Miami,H,37,24,20,25,,,,,,106,240,40,93,11,33,15,24,13,33,46,22,24,10,10,13,4,106,98.6,98.6,107.5,102.4,2,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,,Marat Kogut,229.5,3,229.5,227.5,228,229,228,3,228,135,110,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800325,11/30/18,Atlanta,R,26,20,30,33,,,,,,109,240,43,96,11,36,12,20,14,28,42,26,12,15,21,21,3,109,108.5,108.5,100.4,114.3,3IN4,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,David Guthrie,CJ Washington,225,13.5,225,229.5,229.5o12 ,229.5,228.5,13,228.5,797,111,,
NBA 2018-2019 Regular Season,21800325,11/30/18,Oklahoma City,H,28,38,25,33,,,,,,124,240,46,88,18,41,14,15,7,39,46,30,24,12,20,22,7,124,108.5,108.5,114.3,100.4,1,Paul George,Jerami Grant,Steven Adams,Alex Abrines,Russell Westbrook,,Tre Maddox,-13.5,-13.5,225,-13.5,-18.5,-13,-18,-13,228.5,-1300,-1.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800326,11/30/18,Houston,R,39,31,40,26,,,,,,136,240,49,98,22,54,16,20,13,36,49,32,22,9,5,6,6,136,96.9,96.9,140.4,108.4,1,PJ Tucker,James Ennis III,Clint Capela,James Harden,Chris Paul,Scott Wall,Kane Fitzgerald,217,1,217,-12,-4, -4 -08,-4,-4,216,-177,3.5,,
NBA 2018-2019 Regular Season,21800326,11/30/18,San Antonio,H,23,24,27,31,,,,,,105,240,39,86,10,28,17,20,9,32,41,24,18,4,13,13,4,105,96.9,96.9,108.4,140.4,1,Rudy Gay,Dante Cunningham,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,,Mark Ayotte,-1,-1,217,215.5,215, 215o21,216,4,216,153,105,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800327,11/30/18,Orlando,R,21,30,24,24,,,,,,99,240,39,82,8,27,13,18,8,36,44,23,16,7,12,12,5,99,91.8,91.8,107.8,92.6,1,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Pat Fraher,Ben Taylor,-6,-1,216,-4.5,-4, -4 -13,-4,-4,215.5,-185,-2,,
NBA 2018-2019 Regular Season,21800327,11/30/18,Phoenix,H,25,23,23,14,,,,,,85,240,34,84,7,28,10,14,9,31,40,22,15,5,12,13,0,85,91.8,91.8,92.6,107.8,3IN4,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,,Curtis Blair,216,1,216,218,215,216,215.5,4,215.5,160,106,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800328,11/30/18,Dallas,R,32,26,17,28,,,,,,103,240,34,86,10,39,25,34,9,37,46,20,25,9,16,16,4,103,106.3,106.3,96.9,107.3,1,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Scott Foster,Jonathan Sterling,221,4.5,221,223.5,222.5, 221o27,222,4,222,166,110,,
NBA 2018-2019 Regular Season,21800328,11/30/18,LA Lakers,H,22,31,25,36,,,,,,114,240,42,86,9,30,21,32,9,38,47,23,29,8,17,18,3,114,106.3,106.3,107.3,96.9,3IN4-B2B,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,,Scott Twardoski,-0.5,-4.5,221,-8.5,-19, -4 -16,-4,-4,222,-195,-23.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800329,11/30/18,Denver,R,38,30,23,22,,,,,,113,240,40,87,14,30,19,26,13,28,41,28,21,11,11,12,3,113,94.7,94.7,119.3,118.2,2,Juancho Hernangomez,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Rodney Mott,Aaron Smith,214.5,2.5,214.5,215,215u14 ,215,214,2,214,115,106.5,,
NBA 2018-2019 Regular Season,21800329,11/30/18,Portland,H,26,27,32,27,,,,,,112,240,45,85,6,22,16,21,12,32,44,19,23,7,14,14,6,112,94.7,94.7,118.2,119.3,1,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,,Zach Zarba,-17.5,-2.5,214.5,-1.5,-14.5,-1.5,-17,-2,214,-135,-20,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800330,12/1/18,Milwaukee,R,35,31,31,27,10,,,,,134,265,46,94,18,42,24,31,10,41,51,28,25,11,16,17,4,134,113.6,102.9,117.9,119.7,2,Giannis Antetokounmpo,Khris Middleton,Brook Lopez,Eric Bledsoe,Malcolm Brogdon,JB DeRosa,Matt Boland,-9,-9,231,-9,-13.5,-8.5,-8,-8,230.5,-380,-3.5,,
NBA 2018-2019 Regular Season,21800330,12/1/18,New York,H,28,33,32,31,12,,,,,136,265,51,96,20,34,14,21,6,35,41,30,23,5,16,17,2,136,113.6,102.9,119.7,117.9,2,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,,Jason Phillips,231,9,231,228.5o17,229,229.5,230.5,8,230.5,303,117.5u15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800331,12/1/18,Golden State,R,24,22,32,24,,,,,,102,240,39,85,6,26,18,21,8,36,44,23,22,6,14,15,5,102,100.2,100.2,101.8,110.8,1,Kevin Durant,Jonas Jerebko,Damian Jones,Klay Thompson,Stephen Curry,Courtney Kirkland,Haywoode Workman,-4,-4,226.5,-5,-4.5, -4.5 -05,-4,-4,229,-185,-6,,
NBA 2018-2019 Regular Season,21800331,12/1/18,Detroit,H,24,30,31,26,,,,,,111,240,43,98,12,35,13,20,14,33,47,22,21,8,11,12,2,111,100.2,100.2,110.8,101.8,B2B,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,,Mark Lindsay,226.5,4,226.5,230,229,228,229,4,229,160,112.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800332,12/1/18,Toronto,R,21,26,30,29,,,,,,106,240,39,80,7,26,21,25,6,36,42,15,19,5,10,12,5,106,95.9,95.9,110.6,99.1,1,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Fred VanVleet,Nick Buchert,James Williams,-13.5,-13.5,217.5,-33,-12.5, -12.5 -03,-12,-12,213,-1000,-5,,
NBA 2018-2019 Regular Season,21800332,12/1/18,Cleveland,H,21,19,27,28,,,,,,95,240,34,88,5,22,22,25,11,33,44,14,23,6,11,12,0,95,95.9,95.9,99.1,110.6,3IN4-B2B,Rodney Hood,Cedi Osman,Tristan Thompson,Collin Sexton,George Hill,,J.T. Orr,217.5,13.5,217.5,215,213.5,212,213,12,213,664,103.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800333,12/1/18,Brooklyn,R,19,20,19,30,,,,,,88,240,30,81,8,33,20,25,11,31,42,19,17,8,17,19,2,88,97,97,90.7,105.2,3IN4-B2B,Allen Crabbe,Rondae Hollis-Jefferson,Jarrett Allen,Spencer Dinwiddie,D'Angelo Russell,Ron Garretson,Brandon Adair,226,4.5,226,228u12,228u11 ,228,228.5,6,228.5,211,115.5,,
NBA 2018-2019 Regular Season,21800333,12/1/18,Washington,H,24,18,26,34,,,,,,102,240,41,79,8,26,12,18,2,36,38,19,21,8,13,13,3,102,97,97,105.2,90.7,3IN4-B2B,Tomas Satoransky,Otto Porter Jr.,Thomas Bryant,Bradley Beal,John Wall,,Ed Malloy,-4.5,-4.5,226,-7,-7 EVEN ,-6.5,-6,-6,228.5,-255,-2.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800334,12/1/18,Chicago,R,22,24,29,30,,,,,,105,240,39,88,8,32,19,24,7,34,41,15,22,11,13,14,6,105,103.6,103.6,101.3,116.8,3IN4-B2B,Justin Holiday,Jabari Parker,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Derek Richardson,Karl Lane,220,11.5,220,219.5,219.5o12 ,219.5,218,13,218,912,112,,
NBA 2018-2019 Regular Season,21800334,12/1/18,Houston,H,38,18,31,34,,,,,,121,240,42,84,16,41,21,30,6,41,47,23,21,8,14,14,7,121,103.6,103.6,116.8,101.3,3IN4-B2B,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,,Josh Tiven,-11.5,-11.5,220,-12.5,-23.5,-12.5,-28,-13,218,-1600,-5.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800335,12/1/18,Boston,R,29,28,27,34,,,,,,118,240,40,85,17,44,21,21,7,33,40,30,25,9,14,14,3,118,99.4,99.4,118.7,109.7,B2B,Jayson Tatum,Marcus Morris,Al Horford,Marcus Smart,Kyrie Irving,Sean Corbin,Jason Goldenberg,213.5,1.5,213.5,216.5,217, 217u27,216,1.5,216,106,111,,
NBA 2018-2019 Regular Season,21800335,12/1/18,Minnesota,H,26,22,29,32,,,,,,109,240,37,82,9,28,26,32,9,30,39,19,18,6,16,16,2,109,99.4,99.4,109.7,118.7,2,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,,Dedric Taylor,-1.5,-1.5,213.5,-2,-2.5, -2 -03,-1.5,-1.5,216,-126,-3.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800336,12/1/18,Indiana,R,30,30,31,19,,,,,,110,240,43,82,10,24,14,18,6,36,42,32,26,11,25,25,5,110,106.6,106.6,103.2,104.1,1,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,Scott Foster,Jonathan Sterling,PK,0,222.5,-10.5,-7.5, -2 -05,-1.5,-1.5,225,-123,-5.5,,
NBA 2018-2019 Regular Season,21800336,12/1/18,Sacramento,H,26,32,31,22,,,,,,111,240,41,91,13,29,16,24,14,32,46,25,16,10,20,20,3,111,106.6,106.6,104.1,103.2,1,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,,Ben Taylor,222.5,0,222.5,225.5u23,225, 225u13,225,1.5,225,103,110o15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800337,12/2/18,Phoenix,R,31,15,28,22,,,,,,96,240,37,93,13,33,9,11,7,33,40,24,22,12,15,16,8,96,106.6,106.6,90,112.6,1,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Devin Booker,David Guthrie,Aaron Smith,224.5,11,224.5,221u12,221,220,221,12,221,624,106,,
NBA 2018-2019 Regular Season,21800337,12/2/18,LA Lakers,H,21,40,34,25,,,,,,120,240,46,92,11,27,17,23,11,45,56,26,15,9,19,19,4,120,106.6,106.6,112.6,90,3IN4,LeBron James,Kyle Kuzma,JaVale McGee,Brandon Ingram,Lonzo Ball,,Kevin Cutler,-11,-11,224.5,-27,-30,-12,-25,-12,221,-920,-18,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800338,12/2/18,New Orleans,R,29,36,22,32,,,,,,119,240,44,86,11,32,20,24,9,41,50,30,25,6,17,18,5,119,102.3,102.3,116.3,106.5,1,Wesley Johnson,Anthony Davis,Nikola Mirotic,Jrue Holiday,Tim Frazier,Tom Washington,Tre Maddox,235,1.5,235,233.5,232,232.5,232,3,232,127,113.5,,
NBA 2018-2019 Regular Season,21800338,12/2/18,Charlotte,H,30,26,21,32,,,,,,109,240,39,91,10,36,21,28,11,30,41,25,19,9,11,11,6,109,102.3,102.3,106.5,116.3,1,Nicolas Batum,Marvin Williams,Willy Hernangomez,Jeremy Lamb,Kemba Walker,,Leon Wood,-1.5,-1.5,235,-21,-18,-3,-10,-3,232,-147,-4,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800339,12/2/18,Utah,R,35,20,22,23,,,,,,100,240,39,89,11,33,11,15,10,40,50,21,18,8,13,14,6,100,97.9,97.9,102.2,104.2,1,Jae Crowder,Joe Ingles,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Ken Mauer,Justin Van Duyne,-3.5,-3.5,210.5,-18.5,-4, -4 -15,-9,-4,208.5,-165,-17,,
NBA 2018-2019 Regular Season,21800339,12/2/18,Miami,H,27,26,27,22,,,,,,102,240,36,91,13,31,17,24,14,36,50,20,16,8,13,13,8,102,97.9,97.9,104.2,102.2,1,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,,Kevin Scott,210.5,3.5,210.5,208u21,208,207.5,208.5,4,208.5,144,108,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800340,12/2/18,Memphis,R,25,19,24,27,,,,,,95,240,33,79,11,28,18,23,3,32,35,19,24,7,14,15,7,95,99.2,99.2,95.8,103.9,1,Kyle Anderson,Jaren Jackson Jr.,Marc Gasol,Garrett Temple,Mike Conley,Leroy Richardson,Brian Forte,212.5,5.5,212.5,212.5,213, 213u21,211.5,6.5,211.5,215,103.5,,
NBA 2018-2019 Regular Season,21800340,12/2/18,Philadelphia,H,26,28,24,25,,,,,,103,240,36,74,8,22,23,30,3,41,44,22,20,5,16,16,2,103,99.2,99.2,103.9,95.8,1,Jimmy Butler,Mike Muscala,Joel Embiid,JJ Redick,Ben Simmons,,Ed Malloy,-5.5,-5.5,212.5,-21.5,-6.5,-6,-6.5,-6.5,211.5,-260,-0.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800341,12/2/18,LA Clippers,R,35,23,22,30,,,,,,110,240,42,95,9,24,17,22,8,36,44,23,22,9,10,11,5,110,104.9,104.9,104.9,108.7,2,Danilo Gallinari,Tobias Harris,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,James Capers,Curtis Blair,-2,-2,224,-3.5,-10.5, -2.5 -05,-9.5,-2.5,223.5,-140,-8,,
NBA 2018-2019 Regular Season,21800341,12/2/18,Dallas,H,34,28,26,26,,,,,,114,240,42,95,8,23,22,26,17,47,64,20,21,6,16,16,5,114,104.9,104.9,108.7,104.9,1,Harrison Barnes,Dorian Finney-Smith,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,,Mark Ayotte,224,2,224,226,225, 225u11,223.5,2.5,223.5,120,109,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800342,12/2/18,Portland,R,33,22,35,28,,,,,,118,240,45,86,12,29,16,16,9,26,35,25,21,6,17,17,5,118,98.6,98.6,119.7,132.9,1,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Michael Smith,Derrick Collins,-1,-1,217,217,217.5, 217.5u13,218,1,218,-108,113,,
NBA 2018-2019 Regular Season,21800342,12/2/18,San Antonio,H,32,30,35,34,,,,,,131,240,50,83,11,15,20,22,5,29,34,29,15,5,12,12,4,131,98.6,98.6,132.9,119.7,1,Rudy Gay,Davis Bertans,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,,Marc Davis,217,1,217,1,-4,-1,-9,-1,218,-112,2.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800343,12/3/18,Oklahoma City,R,26,24,37,23,,,,,,110,240,43,85,7,25,17,20,6,46,52,23,24,10,17,17,8,110,105.2,105.2,104.5,78.9,2,Paul George,Jerami Grant,Steven Adams,Terrance Ferguson,Russell Westbrook,Tony Brothers,Phenizee Ransom,-1.5,-1.5,220,-2.5,-7.5,-2,-17,-2,218,-140,2,,
NBA 2018-2019 Regular Season,21800343,12/3/18,Detroit,H,17,23,19,24,,,,,,83,240,31,94,6,32,15,19,9,32,41,16,18,10,15,17,3,83,105.2,105.2,78.9,104.5,3IN4,Glenn Robinson III,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,,Gediminas Petraitis,220,1.5,220,217.5,217.5u13 ,217,218,2,218,120,106,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800344,12/3/18,Golden State,R,34,27,36,31,,,,,,128,240,48,82,13,24,19,22,6,33,39,33,24,10,20,20,8,128,106,106,120.7,104.7,1,Andre Iguodala,Kevin Durant,Kevon Looney,Klay Thompson,Stephen Curry,Mike Callahan,Matt Myers,-10.5,-10.5,232,-10,-25.5,-11,-16,-11,235.5,-715,-7.5,,
NBA 2018-2019 Regular Season,21800344,12/3/18,Atlanta,H,17,30,30,34,,,,,,111,240,44,90,5,26,18,24,9,26,35,23,21,10,18,19,4,111,106,106,104.7,120.7,2,Taurean Prince,John Collins,Dewayne Dedmon,Kevin Huerter,Trae Young,,Ron Garretson,232,10.5,232,237u13,236,236.5,235.5,11,235.5,515,114.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800345,12/3/18,Cleveland,R,30,26,24,19,,,,,,99,240,38,88,4,15,19,20,14,41,55,15,17,5,9,10,4,99,92.3,92.3,107.2,105.1,3IN4,Rodney Hood,Cedi Osman,Tristan Thompson,George Hill,Collin Sexton,Scott Wall,Mousa Dagher,212,6,212,212,211,210.5,210,6,210,203,105,,
NBA 2018-2019 Regular Season,21800345,12/3/18,Brooklyn,H,29,21,26,21,,,,,,97,240,39,99,10,40,9,16,17,33,50,17,20,5,7,8,2,97,92.3,92.3,105.1,107.2,3IN4,Allen Crabbe,Rondae Hollis-Jefferson,Jarrett Allen,Spencer Dinwiddie,D'Angelo Russell,,Jason Phillips,-6,-6,212,-5.5,-32.5, -6 -18,-11,-6,210,-245,-5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800346,12/3/18,Washington,R,26,26,34,24,,,,,,110,240,44,92,13,32,9,12,8,30,38,30,24,7,10,10,8,110,96.3,96.3,114.2,111.1,3IN4,Otto Porter Jr.,Tomas Satoransky,Thomas Bryant,Bradley Beal,John Wall,Sean Corbin,Evan Scott,-1,-1,227.5,-1.5,-2, -2 -15,-2.5,-2.5,229,-135,-4.5,,
NBA 2018-2019 Regular Season,21800346,12/3/18,New York,H,32,29,19,27,,,,,,107,240,37,90,12,34,21,28,19,36,55,20,14,4,16,16,5,107,96.3,96.3,111.1,114.2,1,Mario Hezonja,Noah Vonleh,Enes Kanter,Tim Hardaway Jr.,Emmanuel Mudiay,,Courtney Kirkland,227.5,1,227.5,228.5,229,230.5,229,2.5,229,115,112.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800347,12/3/18,Denver,R,27,32,27,20,,,,,,106,240,40,89,11,28,15,24,15,34,49,32,14,9,20,20,2,106,101.4,101.4,104.6,101.6,2,Juancho Hernangomez,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Pat Fraher,Natalie Sago,218,6,218,218,218.5, 218.5o21,219.5,7,219.5,252,107.5o15,,
NBA 2018-2019 Regular Season,21800347,12/3/18,Toronto,H,24,23,31,25,,,,,,103,240,40,87,11,41,12,12,7,34,41,28,21,11,17,17,5,103,101.4,101.4,101.6,104.6,1,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,,Karl Lane,-11,-6,218,-12,-6.5,-7,-22,-7,219.5,-310,-8,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800348,12/3/18,Houston,R,24,38,20,9,,,,,,91,240,32,74,11,39,16,19,7,27,34,24,27,9,20,20,6,91,92,92,98.9,111.9,3IN4,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,Tony Brown,Tyler Ford,-1.5,-1.5,221.5,-15.5,-17.5, -2.5 -18,-3,-3,223,-145,3,,
NBA 2018-2019 Regular Season,21800348,12/3/18,Minnesota,H,24,24,38,17,,,,,,103,240,36,82,11,22,20,28,13,29,42,22,16,11,14,14,7,103,92,92,111.9,98.9,1,Robert Covington,Taj Gibson,Karl-Anthony Towns,Andrew Wiggins,Jeff Teague,,Nick Buchert,221.5,1.5,221.5,220.5,222,222.5,223,3,223,125,108.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800349,12/3/18,LA Clippers,R,36,41,24,28,,,,,,129,240,49,83,8,20,23,30,7,32,39,29,21,4,12,12,1,129,97.9,97.9,131.7,128.6,B2B,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Shai Gilgeous-Alexander,Derek Richardson,Matt Boland,238.5,3,238.5,236.5,236,235.5,234.5,2,234.5,115,113o20,,
NBA 2018-2019 Regular Season,21800349,12/3/18,New Orleans,H,29,36,32,29,,,,,,126,240,49,92,13,34,15,22,10,25,35,32,24,10,7,7,5,126,97.9,97.9,128.6,131.7,3IN4-B2B,E'Twaun Moore,Anthony Davis,Julius Randle,Jrue Holiday,Tim Frazier,,Marc Davis,-3,-3,238.5,-2 EVEN,-6.5,-1.5,-17,-2,234.5,-135,-4,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800350,12/4/18,Chicago,R,21,24,22,23,,,,,,90,240,37,94,11,31,5,5,12,32,44,26,23,8,18,19,2,90,98.7,98.7,91.2,97.3,2,Justin Holiday,Lauri Markkanen,Wendell Carter Jr.,Zach LaVine,Ryan Arcidiacono,Rodney Mott,Justin Van Duyne,208.5,9,208.5,210,210.5,211,211u12,8,211,289,108.5o15,,
NBA 2018-2019 Regular Season,21800350,12/4/18,Indiana,H,23,20,27,26,,,,,,96,240,35,76,6,22,20,24,6,39,45,22,13,10,18,18,6,96,98.7,98.7,97.3,91.2,2,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Tyreke Evans,Darren Collison,,Sean Wright,-9,-9,208.5,-27,-19.5, -8.5 -12,-8,-8,211,-360,-11.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800351,12/4/18,Orlando,R,27,19,30,29,,,,,,105,240,38,86,14,28,15,20,11,32,43,22,13,5,11,15,4,105,92.8,92.8,113.1,97,3+,Jonathon Simmons,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,Zach Zarba,Nate Green,207.5,1.5,207.5,207,206,207,208,2.5,208,130,103,,
NBA 2018-2019 Regular Season,21800351,12/4/18,Miami,H,25,25,12,28,,,,,,90,240,38,91,12,35,2,5,16,31,47,19,19,7,15,16,11,90,92.8,92.8,97,113.1,1,Rodney McGruder,James Johnson,Hassan Whiteside,Wayne Ellington,Josh Richardson,,Brian Forte,-1.5,-1.5,207.5,-8,-2.5, -2.5 -12,-17.5,-2.5,208,-150,-1,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800352,12/4/18,Portland,R,20,25,28,29,,,,,,102,240,38,84,7,24,19,23,11,37,48,20,29,7,18,19,6,102,100,100,102,111,1,Maurice Harkless,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,Ed Malloy,Mitchell Ervin,219,0,219,216.5u12,216,216.5,217.5,2.5,217.5,112,111,,
NBA 2018-2019 Regular Season,21800352,12/4/18,Dallas,H,34,26,27,24,,,,,,111,240,38,88,11,30,24,35,15,35,50,25,19,11,13,13,4,111,100,100,111,102,1,Harrison Barnes,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,,Tre Maddox,PK,0,219,-7,-1.5, -2.5 -05,-5.5,-2.5,217.5,-132,-10.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800353,12/4/18,Sacramento,R,36,32,31,23,,,,,,122,240,45,84,11,24,21,32,9,33,42,27,22,13,13,13,3,122,100.9,100.9,120.9,104.1,2,Iman Shumpert,Nemanja Bjelica,Willie Cauley-Stein,Buddy Hield,De'Aaron Fox,Mark Ayotte,Brett Nansel,-6,-6,226,-6,-11,-6,-5.5,-5.5,222.5,-225,3,,
NBA 2018-2019 Regular Season,21800353,12/4/18,Phoenix,H,9,31,27,38,,,,,,105,240,38,87,12,43,17,21,13,30,43,27,27,9,21,21,4,105,100.9,100.9,104.1,120.9,1,Josh Jackson,Trevor Ariza,Deandre Ayton,Mikal Bridges,Elie Okobo,,Eric Lewis,226,6,226,224,223o11 ,223,222.5,5.5,222.5,188,108o15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800354,12/4/18,San Antonio,R,20,27,31,27,,,,,,105,240,44,90,7,22,10,11,7,25,32,25,19,7,16,16,5,105,103.3,103.3,101.6,134.5,1,Rudy Gay,Davis Bertans,LaMarcus Aldridge,DeMar DeRozan,Bryn Forbes,David Guthrie,Aaron Smith,214.5,5.5,214.5,216.5,217, 217u12,215.5,7.5,215.5,267,110.5,,
