Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
101,2006,NBA,1,11,ORL,J.J. Redick,22.009,G,us,Duke,2007,2020,890,25.9,13,2.1,2,0.5,0.1,0.448,0.482,0.416,0.891,62.6,0.13
102,2006,NBA,1,12,NOK,Hilton Armstrong,21.234,F-C,us,UConn,2007,2014,292,11.6,3,2.6,0.3,0.3,0.5,0.501,0.503,0.286,0.582,3.9,0.055
103,2006,NBA,1,13,PHI,Thabo Sefolosha,22.062,G-F,ch,NA,2007,2020,869,21.9,5.7,3.7,1.4,1.1,0.4,0.449,0.502,0.349,0.732,39.3,0.099
104,2006,NBA,1,14,UTA,Ronnie Brewer,21.105,G-F,us,Arkansas,2007,2014,502,23,7.8,2.8,1.6,1.2,0.2,0.49,0.52,0.254,0.675,30.4,0.127
105,2006,NBA,1,15,NOK,Cedric Simmons,20.181,F,us,NC State,2007,2009,75,9.4,2.2,1.9,0.2,0.1,0.4,0.409,0.409,,0.39,0.1,0.005
106,2006,NBA,1,16,CHI,Rodney Carney,22.079,F,us,Memphis,2007,2011,299,15.4,5.9,2,0.4,0.5,0.3,0.422,0.471,0.338,0.704,6.2,0.064
107,2006,NBA,1,17,IND,Shawne Williams,20.137,F,us,Memphis,2007,2015,314,17.1,5.6,3,0.7,0.4,0.5,0.403,0.469,0.339,0.755,6.7,0.06
108,2006,NBA,1,18,WAS,Oleksiy Pecherov,20.207,C,ua,NA,2008,2010,111,9.4,3.9,2.4,0.2,0.2,0.2,0.386,0.444,0.29,0.793,0.5,0.025
109,2006,NBA,1,19,SAC,Quincy Douby,22.048,G,us,Rutgers University,2007,2009,143,10.7,4.1,1.1,0.7,0.3,0.1,0.389,0.436,0.312,0.884,0,0
110,2006,NBA,1,20,NYK,Renaldo Balkman,21.354,F,us,South Carolina,2007,2012,221,13.9,4,3.5,0.6,0.7,0.5,0.51,0.543,0.172,0.542,7.2,0.113
111,2006,NBA,1,21,PHO,Rajon Rondo,20.131,G,us,Kentucky,2007,2020,873,31,10.2,4.7,8.3,1.7,0.1,0.458,0.483,0.316,0.606,59.9,0.106
112,2006,NBA,1,22,NJN,Marcus Williams,20.212,G,us,UConn,2007,2010,203,15.2,5.6,1.8,2.8,0.4,0,0.386,0.421,0.321,0.767,0,-0.001
